RespondentID,CollectorID,StartDate,EndDate,IP Address,Email Address,First Name,LastName,Custom Data,What is your role at your institution? - Open-Ended Response,How often do you use the  software?,How frequently do you use 's software to do the following? - Enter/maintain contacts made with Persons,How frequently do you use 's software to do the following? - Identify and proactively intervene with at-risk Persons,How frequently do you use 's software to do the following? - Track Person cohorts over time,"How frequently do you use 's software to do the following? - Produce reports on Person persistence, graduation, etc.",How frequently do you use 's software to do the following? - View enrollment data,How frequently do you use 's software to do the following? - Examine course-level outcomes,How frequently do you use 's software to do the following? - Review data in dashboards and/or strategic scorecards,"How frequently do you use 's software to do the following? - Assess Person progression through, completion of developmental/remedial program coursework","Are there other ways you use the  software not mentioned above? If so, please share those here. - Open-Ended Response","Are there ways you would like to use the  software that you do not/can not currently? If so, please share those here. - Open-Ended Response",What could  do to increase the number of individuals who regularly use the software at your institution? (Please rank each option from 1 - most helpful to 4 - least helpful) - Offer additional training,"What could  do to increase the number of individuals who regularly use the software at your institution? (Please rank each option from 1 - most helpful to 4 - least helpful) - Provide more documentation (user guides, tutorials, videos, etc.)","What could  do to increase the number of individuals who regularly use the software at your institution? (Please rank each option from 1 - most helpful to 4 - least helpful) - Deliver a set of standard research reports ""out of the box""","What could  do to increase the number of individuals who regularly use the software at your institution? (Please rank each option from 1 - most helpful to 4 - least helpful) - Organize the software into smaller, thematic components (enrollment, course completion, graduation)",What could  do to increase the number of individuals who regularly use the software at your institution? (Please rank each option from 1 - most helpful to 4 - least helpful) - Other (please specify),When was the last time you contacted  for support?,When was the last time you contacted  for support? - Please share the nature of your request for support here.,How satisfied are you with the level of customer support  provides your institution?,How satisfied are you with the level of customer support  provides your institution? - Please tell us more about your level of satisfaction with  customer support.,"When you contact , how likely are you to: - receive a timely response?","When you contact , how likely are you to: - receive feedback you can understand?","When you contact , how likely are you to: - interact with competent personnel?","When you contact , how likely are you to: - Please tell us more about your contact with .", services are completed within an acceptable timeframe. , services are completed within an acceptable timeframe.  - Why did you make this selection?,Which of the following would you like to see  offer customers?  (Check all that apply) - Sending confirmation that your email or question has been received and will be reviewed,Which of the following would you like to see  offer customers?  (Check all that apply) - Offering more methods of contacting support personnel,Which of the following would you like to see  offer customers?  (Check all that apply) - Creating a software knowledge-base,Which of the following would you like to see  offer customers?  (Check all that apply) - Providing online software demos,Which of the following would you like to see  offer customers?  (Check all that apply) - Other (please specify),Which of the following would you like to see  offer customers?  (Check all that apply) - Other (please specify),"Within the past year, have you participated in software training provided by ?",The software training provided by : - prepared me to use the product.,The software training provided by : - was conducted in a timely manner.,The software training provided by : - was a valuable use of my time.,The software training provided by : - Please share any additional comments about training in the box below.,The slides and materials presented during the software training were a helpful addition to my understanding of the product. ,The slides and materials presented during the software training were a helpful addition to my understanding of the product.  - Please tell us more about the information presented during software training.,How likely are you to recommend  to someone else?,How likely are you to recommend  to someone else? - Please tell us more about why you would or would not recommend .,"Based on your experience with , what are we doing well? What could we do to improve? - Open-Ended Response","We are currently looking for stories of how companys are successfully using the  software. If you are interested in sharing your story, please provide your contact information below. - Name:","We are currently looking for stories of how companys are successfully using the  software. If you are interested in sharing your story, please provide your contact information below. - company:","We are currently looking for stories of how companys are successfully using the  software. If you are interested in sharing your story, please provide your contact information below. - e-mail:","We are currently looking for stories of how companys are successfully using the  software. If you are interested in sharing your story, please provide your contact information below. - Phone:"
2809933229,44341820,9/13/2013 17:49,9/13/2013 18:24,213.135.28.192,Marian.Prost@email.com,Marian,Prost,,Test1,One or more times per day,NA,Rarely,Often,Often,Often,Often,Often,Sometimes,We also use Person Lookup to create mailing lists of Persons.  We upload lists of Persons to do further analysis on special populations as well.,"We would like to use the completion points feature more, but need some development on that.  It would be nice to see some more options in terms of graphs (for example, if we wanted to show progress toward an enrollment target during a registration period we would see a progress bar that would continue to fill each day).  I am also often asked about tracking Persons from a particular course or set of courses to another course or set of courses.  Some of this can be done in Person Lookup, but I often find myself downloading datasheets so analyze data outside the warehouse for this type of request.  Additionally, we will need some more advanced security features to share or hide specific dimensions with certain groups of users and/or limit users' drill-down capabilities.  We would also like to see usage statistics.  We are also interested in a more complex method of tracking transfer Persons (the institutions they transfer to, etc.).",3,2,2,2,"This is just a comment about the others above.  I have found that most of this would pJohnably be hard to do from 's perspective.  A lot of the ""out of the box"" reports, thematic grouping of reports, or even training needs to be tailored specifically to the institution.  I have found that the best way to increase usage was to provide users with reports or features that they have  particular interest in viewing or that answer a particular question they often ask.  Because it is often specific, it might just require an employee of the institution to fill that role and meet with users.  If your resources allowed, perhaps having somone from  stay on site to consult with users for a week or two each time you do a launch and then maybe once a year after that?",Within the last week,"We have several customizations, fixes and upgrades in progress.",Very Satisfied,"We work with John Doe and he is fantastic. John has always been extremely helpful and provided a high level of cutomer service.  The only drawback is that more recently it has been harder to find time to meet or get in contact because he is very busy.  I know we are a pretty demanding institution, but sometimes we would like faster turn-around on support issues.  That being said, John has consistently met deadlines and promptly responded to urgent requests.",Likely,Very Likely,Very Likely,"Generally, I have been satisfied working with our System person as well as in conversation with others.  Everyone has provided good customer service.  We do wish we would have faster response time, however.",Agree,"Most of our requests have been made within our desired time-frame.  However, in more recent months, this has been less true.  We have noticed less availability of our main contact at  and it has taken a toll in terms of getting our projects completed.  While we have been satisfied for the most part, we are becoming more concerned about timely completion of upgrades, fixes and customizations.",,Offering more methods of contacting support personnel,Creating a software knowledge-base,Providing online software demos,Other (please specify),"We would like to see a backup  person assigned to our institution (and maybe others also).  We have been extremely happy working with our current person and would like to continue working with him, but more recently I think he is working with too many institutions to complete some of our requests when we would like.",Yes,Strongly Agree,Agree,Strongly Agree,,Agree,,Very Likely,We are very pleased with the features and product., is one of the best companies we've worked with in terms of customer service and client relationship.  We really appreciate the availability and committment to our projects.  We also feel that new features have been good improvements and are heading in the direction that helps meet developing needs of our institution.  The main thing we would like to see improved is just the availability of our System person.  We have several projects that have been lined up for some time or have been delayed that we would really like to work through.  This has been difficult as  has expanded with new clients.,,,,
2809507869,44341820,9/13/2013 14:12,9/13/2013 14:14,213.135.28.193,Frank.Cherry@email.com,Frank,Cherry,,Test2,One or more times per week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807632435,44341820,9/12/2013 14:45,9/12/2013 14:47,213.135.28.194,Johnert.Singley@email.com,Johnert,Singley,,Test3,One or more times per day,Never,Never,Often,Often,Often,Often,Often,Often,,,2,3,2,2,,Never,,,,,,,,,,,,,,,,Yes,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,,Likely,,,,,,
2805815558,44341820,9/11/2013 16:13,9/11/2013 16:27,213.135.28.195,Josephine.Fortier@email.com,Josephine,Fortier,,Test4,One or more times per day,Never,Never,Often,Often,Often,Often,Often,Often,analyze trends in Person behavior such as number of credit hours attempted by semester; analyze Person success by people member,In Lookup: need ability to establish and track individual Person progress through specific degree plans;,2,1 Most Helpful,3,3,"Need ""adminstrative filters"" that would allow control over user access to specific data fields, e.g., instructor records where we could limit users access to specific instructors rather than all instructors",Within the last week,Varies...we have weekly conferences built into our schedule,Very Satisfied,Great people...always willing to help!!,Very Likely,Very Likely,Very Likely,,Strongly Agree,Because  has outstanding customer service and want them to know it's appreciated!!!,,,Creating a software knowledge-base,,,,No,,,,,,,Very Likely,"I always recommend  and identify it as our ""data retrieval"" software in all public presentations and publications","Very responsive to customer requests; always working to improve product.    For improvement, would like to have a way to develop some different ""license tiers"" so that we could financially afford to expand access to all people.  they don't need all  features and pJohnably considerably less support than our ""power users"".",,,,
2803735338,44341820,9/10/2013 16:42,9/10/2013 17:02,213.135.28.196,Diana.Logue@email.com,Diana,Logue,,Test5,One or more times per month,Never,Often,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,"I use it to print course rosters for selected courses (xtreme research project) and send emails to Persons.  I access the Persons email to obtain the net ID and send it to an outside vendor for online tutoring services.  I would like to have a choice for net ID, rather than just email, if at all possible?","I really need Person level data (not just course data) and subsequent course completion with grades courses.  I use the import feature but since the newer web version has been realeased I have a hard time managing it.  I like the previous version much better and still use it.  I do not like the filters in the web version, many times I end of with data and I forget all the filters or ""if and and"" statements.  I end up with a pile of information that I am not certain contains the data I need.  I hope that makes sense?",2,1 Most Helpful,1 Most Helpful,1 Most Helpful,,Withing the last month,"I had Paul Brown assist me making the request.  Below is a copy paste of the request:  John,  I know that we can load Person data into  but are we able to load specific courses.  My first thought was that Mary would need to create a section grouping based on each section with a grade distribution report.  But I wanted to know if you had another way of thinking before we set this up.  Thanks,  Paul      From: Mary Martinson   Sent: Tuesday, August 20, 2013 10:51 AM  To: Paul Brown  Subject: FW: Fall Xtreme Schedule    Hi Paul:  Can these course sections be loaded into  and the grades for that specific course auto populate at the end of the year when grades are posted?  Now that there are so many sections we cannot keep looking them up manually.           ",Very Satisfied,,Likely,Likely,Very Likely,,Agree,,,,,Providing online software demos,,,No,,,,,,,Very Likely,,,,,,
2803663137,44341820,9/10/2013 16:09,9/10/2013 16:19,213.135.28.197,James.Riley@email.com,James,Riley,,Test6,One or more times per day,NA,Never,Often,Often,Often,Sometimes,Rarely,Never,,"I find a large number of users are more comfortable thus far with Person Lookup as opposed to Enterprise Reports... although they're just exporting large data sets from SN in order to use Excel to manipulate the data.  Allowing these users to ""open"" these groups within an Enterprise Report would be useful.",3,1 Most Helpful,2,3,"Additional Training videos would be very helpful - although doing so in a way that doesn't require logging in to the  support website would be even more helpful.  Additional documentation would also be helpful, although I generally think that videos are even better... having said that, we're now creating some step-by-step guides for creating certain complex reports/graphs that could be useful.  ""Standard"" reports are always welcome as we saw with our research team.  Not sure about organizing the software into smaller thematic components, though.  It could have the effect of making people more confused as to which area they should look for information they need (too many options).  However, BY FAR, the largest and most significant change would be to move off of OWC as fast as possible given that it's not cross-platform or cross-browser compatible and is starting to experience issues with Excel in Office 2013.",Within the last week,Well... it's fairly ongoing for us at the moment as we move towards launch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803647650,44341820,9/10/2013 16:02,9/10/2013 16:07,213.135.28.198,Frank.Mitchell@email.com,Frank,Mitchell,,Test1,One or more times per month,Never,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes,Never,,,1 Most Helpful,1 Most Helpful,1 Most Helpful,2,,Withing the last month,,Very Satisfied,,Very Likely,Very Likely,Very Likely,,Agree,,,,,,,,Yes,Agree,Neither Agree nor Disagree,Agree,,Agree,,Very Likely,,,,,,
2803549367,44341820,9/10/2013 15:18,9/10/2013 15:23,213.135.28.199,Anna.Linder@email.com,Anna,Linder,,Test2,A few times a year,NA,NA,NA,NA,Sometimes,NA,Sometimes,NA,monitor the database,,1 Most Helpful,2,2,2,,Within the last week,discuss transition of the database to SQL 2012,Very Satisfied,,Likely,Very Likely,Very Likely,,Strongly Agree,personal attention,Sending confirmation that your email or question has been received and will be reviewed,Offering more methods of contacting support personnel,,,,,No,,,,,,,Very Likely,,We know our support tech John is very busy.  I'd like to see more techs specific to our school.,,,,
2803545992,44341820,9/10/2013 15:17,9/10/2013 15:23,213.135.28.200,Portia.Mercer@email.com,Portia,Mercer,,Test3,One or more times per week,Never,Rarely,Often,Often,Often,Often,Sometimes,Often,,,2,2,2,1 Most Helpful,Allow user defined cohort creation /allow users to assign attributes to groups of Persons and run reports off the attributes,Never,,,,,,,,,,,,,,,,Yes,Agree,Agree,Agree,,Agree,,Very Likely,,,,,,
2803475575,44341820,9/10/2013 14:46,9/10/2013 14:46,213.135.28.201,Jason.Rivers@email.com,Jason,Rivers,,Test4,A few times a year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
